title,link,score
"Plain Vanilla Web","https://plainvanillaweb.com/index.html",1451
"From: Steve Jobs. "Great idea, thank you."","https://blog.hayman.net/2025/05/06/from-steve-jobs-great-idea.html",1188
"Void: Open-source Cursor alternative","https://github.com/voideditor/void",931
"Ty: A fast Python type checker and language server","https://github.com/astral-sh/ty",905
"Mozilla Firefox – Official GitHub repo","https://github.com/mozilla-firefox/firefox",792
"The Barbican","https://arslan.io/2025/05/12/barbican-estate/",696
"The world could run on older hardware if software optimization was a priority","https://twitter.com/ID_AA_Carmack/status/1922100771392520710",674
"My new deadline: 20 years to give away virtually all my wealth","https://www.gatesnotes.com/home/home-page-topic/reader/n20-years-to-give-away-virtually-all-my-wealth",670
"ALICE detects the conversion of lead into gold at the LHC","https://www.home.cern/news/news/physics/alice-detects-conversion-lead-gold-lhc",630
"A critical look at MCP","https://raz.sh/blog/2025-05-02_a_critical_look_at_mcp",613
"First American pope elected and will be known as Pope Leo XIV","https://www.cnn.com/world/live-news/new-pope-conclave-day-two-05-08-25",602
"LegoGPT: Generating Physically Stable and Buildable Lego","https://avalovelace1.github.io/LegoGPT/",587
"Business books are entertainment, not strategic tools","https://theorthagonist.substack.com/p/why-reading-business-books-is-a-waste",575
"Waiting for Postgres 18: Accelerating Disk Reads with Asynchronous I/O","https://pganalyze.com/blog/postgres-18-async-io",571
"NSF faces shake-up as officials abolish its 37 divisions","https://www.science.org/content/article/exclusive-nsf-faces-radical-shake-officials-abolish-its-37-divisions",565
"Leaving Google","https://www.airs.com/blog/archives/670",544
"Vision Now Available in Llama.cpp","https://github.com/ggml-org/llama.cpp/blob/master/docs/multimodal.md",543
"I hacked a dating app (and how not to treat a security researcher)","https://alexschapiro.com/blog/security/vulnerability/2025/04/21/startups-need-to-take-security-seriously",540
"Reservoir Sampling","https://samwho.dev/reservoir-sampling/",527
"Ask HN: What are good high-information density UIs (screenshots, apps, sites)?","item?id=43925732",524
"A simple 16x16 dot animation from simple math rules","https://tixy.land",516
"One-Click RCE in Asus's Preinstalled Driver Software","https://mrbruh.com/asusdriverhub/",511
"Mistral ships Le Chat – enterprise AI assistant that can run on prem","https://mistral.ai/news/le-chat-enterprise",505
"Ask HN: How are you acquiring your first hundred users?","item?id=43970837",493
"High tariffs become 'real' with our first $36K bill","https://blog.adafruit.com/2025/05/08/high-tariffs-become-real-with-our-first-36k-bill/",478
"Car companies are in a billion-dollar software war","https://insideevs.com/features/759153/car-companies-software-companies/",452
"Observations from people-watching","https://skincontact.substack.com/p/21-observations-from-people-watching",449
"US Copyright Office found AI companies breach copyright. Its boss was fired","https://www.theregister.com/2025/05/12/us_copyright_office_ai_copyright/",442
"Rust’s dependencies are starting to worry me","https://vincents.dev/blog/rust-dependencies-scare-me/?",417
"US vs. Google amicus curiae brief of Y Combinator in support of plaintiffs [pdf]","https://storage.courtlistener.com/recap/gov.uscourts.dcd.223205/gov.uscourts.dcd.223205.1300.1.pdf",410
"Sofie: open-source web based system for automating live TV news production","https://nrkno.github.io/sofie-core/",378
"Multiple security issues in GNU Screen","https://www.openwall.com/lists/oss-security/2025/05/12/1",371
"I built a native Windows Todo app in pure C (278 KB, no frameworks)","https://github.com/Efeckc17/simple-todo-c",371
"Branch Privilege Injection: Exploiting branch predictor race conditions","https://comsec.ethz.ch/research/microarch/branch-privilege-injection/",366
"Can you trust that permission pop-up on macOS?","https://wts.dev/posts/tcc-who/",364
"RybbitL Open source Google Analytics replacement","https://github.com/rybbit-io/rybbit",360
"FastVLM: Efficient vision encoding for vision language models","https://github.com/apple/ml-fastvlm",353
"I ruined my vacation by reverse engineering WSC","https://blog.es3n1n.eu/posts/how-i-ruined-my-vacation/",349
"Writing an LLM from scratch, part 13 – attention heads are dumb","https://www.gilesthomas.com/2025/05/llm-from-scratch-13-taking-stock-part-1-attention-heads-are-dumb",346
"The FTC puts off enforcing its 'click-to-cancel' rule","https://www.theverge.com/news/664730/ftc-delay-click-to-cancel-rule",337
"The great displacement is already well underway?","https://shawnfromportland.substack.com/p/the-great-displacement-is-already",334
"Gmail to SQLite","https://github.com/marcboeker/gmail-to-sqlite",334
"Mycoria is an open and secure overlay network that connects all participants","https://mycoria.org/",333
"WASM 2.0","https://www.w3.org/TR/wasm-core-2/",330
"Why Bell Labs Worked","https://1517.substack.com/p/why-bell-labs-worked",328
"Show HN: Hyvector – A fast and modern SVG editor","https://www.hyvector.com",326
"A community-led fork of Organic Maps","https://www.comaps.app/news/2025-05-12/3/",324
"21 GB/s CSV Parsing Using SIMD on AMD 9950X","https://nietras.com/2025/05/09/sep-0-10-0/",319
"In a high-stress work environment, prioritize relationships","https://wqtz.bearblog.dev/high-stress-job-relationships/",308
"Using NASA’s SMAP satellite to detect L-band interference","https://radioandnukes.substack.com/p/how-dare-you-transmit-at-14-ghz",308
"Microservices are a tax your startup probably can't afford","https://nexo.sh/posts/microservices-for-startups/",308
"Google is building its own DeX: First look at Android's Desktop Mode","https://www.androidauthority.com/android-desktop-mode-leak-3550321/",307
"Continuous Thought Machines","https://pub.sakana.ai/ctm/",304
"Starlink User Terminal Teardown","https://www.darknavy.org/blog/a_first_glimpse_of_the_starlink_user_ternimal/",304
"Ask HN: Cursor or Windsurf?","item?id=43959710",296
"Google to back three new nuclear projects","https://www.esgtoday.com/google-to-back-three-new-advanced-nuclear-projects/",291
"Itter.sh – Micro-Blogging via Terminal","https://www.itter.sh/",287
"University of Texas-led team solves a big problem for fusion energy","https://news.utexas.edu/2025/05/05/university-of-texas-led-team-solves-a-big-problem-for-fusion-energy/",282
"PDF to Text, a challenging problem","https://www.marginalia.nu/log/a_119_pdf/",281
"The Deathbed Fallacy (2018)","https://www.hjorthjort.xyz/2018/02/21/the-deathbed-fallacy.html",281
"Web search on the Anthropic API","https://www.anthropic.com/news/web-search-api",271
"Open Hardware Ethernet Switch project, part 1","https://serd.es/2025/05/08/Switch-project-pt1.html",264
"Build iOS Apps on Linux and Windows","https://forums.swift.org/t/xtool-cross-platform-xcode-replacement-build-ios-apps-on-linux-and-more/79803",261
"Show HN: Using eBPF to see through encryption without a proxy","https://github.com/qpoint-io/qtap",258
"Scraperr – A Self Hosted Webscraper","https://github.com/jaypyles/Scraperr",255
"High-school shop students attract skilled-trades job offers","https://www.wsj.com/lifestyle/careers/skilled-trades-high-school-recruitment-fd9f8257",254
"Address of Pope Leo XIV to the College of Cardinals","https://www.vatican.va/content/leo-xiv/en/speeches/2025/may/documents/20250510-collegio-cardinalizio.html",254
"Air Traffic Control","https://computer.rip/2025-05-11-air-traffic-control.html",253
"Klarna changes its AI tune and again recruits humans for customer service","https://www.customerexperiencedive.com/news/klarna-reinvests-human-talent-customer-service-AI-chatbot/747586/",253
"Why are banks still getting authentication so wrong?","https://jamal.haba.sh/its-2025-why-are-banks-still-getting-authentication-so-wrong/",252
"Create and edit images with Gemini 2.0 in preview","https://developers.googleblog.com/en/generate-images-gemini-2-0-flash-preview/",252
"Nextcloud cries foul over Google Play Store app rejection","https://www.theregister.com/2025/05/13/nextcloud_play_store_complaint/",250
"How friction is being redistributed in today's economy","https://kyla.substack.com/p/the-most-valuable-commodity-in-the",250
"For $595, you get what nobody else can give you for twice the price (1982) [pdf]","https://s3data.computerhistory.org/brochures/commodore.commodore64.1982.102646264.pdf",249
"Avoiding AI is hard – but our freedom to opt out must be protected","https://theconversation.com/avoiding-ai-is-hard-but-our-freedom-to-opt-out-must-be-protected-255873",246
"Man 'Disappeared' by ICE Was on El Salvador Flight Manifest, Hacked Data Shows","https://www.404media.co/man-disappeared-by-ice-was-on-el-salvador-flight-manifest-hacked-data-shows/",245
"Show HN: eInk optimized manga with Kindle Comic Converter (+Kobo/ReMarkable)","https://github.com/ciromattia/kcc",239
"Title of work deciphered in sealed Herculaneum scroll via digital unwrapping","https://www.finebooksmagazine.com/fine-books-news/title-work-deciphered-sealed-herculaneum-scroll-digital-unwrapping",236
"CryptPad: An Alternative to the Google Suite","https://cryptpad.org/",235
"Progress toward fusion energy gain as measured against the Lawson criteria","https://www.fusionenergybase.com/articles/continuing-progress-toward-fusion-energy-breakeven-and-gain-as-measured-against-the-lawson-criteria",232
"'We Currently Have No Container Ships,' Seattle Port Says","https://www.newsweek.com/seattle-port-says-no-container-ships-tariffs-2069464",231
"A flat pricing subscription for Claude Code","https://support.anthropic.com/en/articles/11145838-using-claude-code-with-your-max-plan",230
"Mac Themes Garden","https://damien.zone/introducing-mac-themes-garden/",229
"Reviving a modular cargo bike design from the 1930s","https://www.core77.com/posts/136773/Reviving-a-Modular-Cargo-Bike-Design-from-the-1930s",225
"Show HN: Aberdeen – An elegant approach to reactive UIs","https://aberdeenjs.org/",223
