title,link,score
"UEFA and its national associations will not participate in FIFA competitions","https://www.uefa.com/news-media/news/02a7-213a92896eb0-54dfbf454e3b-1000--statement-on-behalf-of-uefa-and-its-55-national-associations/",1229
"Show HN: Open-source engine running Gemma 4 26B in 2 GB RAM on any M-series Mac","https://github.com/drumih/turbo-fieldfare",912
"The coolest use for the Vision Pro","https://christianselig.com/2026/07/vision-pro-house/",843
"Superlogical","https://www.superlogical.com/",787
"The session you cannot take with you","https://earendil.com/posts/session-portability/",779
"Stacked PRs are now live on GitHub","https://github.blog/changelog/2026-07-30-stacked-pull-requests-are-now-in-public-preview/",776
"KOReader","https://koreader.rocks/",748
"DeepSeek-V4-Flash Update","https://api-docs.deepseek.com/updates/",739
"Stop Killing the Internet: No Digital ID and No Age Verification","https://citizens-initiative.europa.eu/initiatives/details/2026/000011_en",720
"qm – Multiplayer agent harness for work","https://github.com/yc-software/qm",667
"How Google helped destroy adoption of RSS feeds (2023)","https://openrss.org/blog/how-google-helped-destroy-adoption-of-rss-feeds",621
"Tailscale didn't stop the Hugging Face intrusion","https://tailscale.com/blog/hugging-face-intrusion",619
"Gemini Robotics 2 brings whole body intelligence to robots","https://deepmind.google/blog/gemini-robotics-2-brings-whole-body-intelligence-to-robots/",617
"AI's top startups are barely publishing their research","https://www.science.org/content/article/ai-s-top-startups-are-barely-publishing-their-research",616
"Advancing the price-performance frontier with GPT‑5.6","https://openai.com/index/advancing-the-price-performance-frontier-with-gpt-5-6/",603
"DeepSeek V4 Flash 0731 Intelligence, Performance and Price Analysis","https://artificialanalysis.ai/models/deepseek-v4-flash",585
"Karpathy’s Pelican","https://twitter.com/karpathy/status/2083749667410727319",581
"Google fixed more Chrome bugs in June than over the past two years, thanks to AI","https://blog.google/security/chrome-stronger-with-every-update/",573
"Diátaxis","https://diataxis.fr/",543
"Kimi K3 Architecture Overview and Notes","https://sebastianraschka.com/blog/2026/kimi-k3-architecture-notes.html",505
"Anatomy of a Frontier Lab Agent Intrusion: A Timeline of the July 2026 Incident","https://huggingface.co/blog/agent-intrusion-technical-timeline",467
"Ten advances in mathematics and theoretical computer science","https://openai.com/index/ten-advances-in-mathematics/",459
"The End of an Era","https://hughhowey.com/the-end-of-an-era/",446
"User Interfaces of the Demo Scene","https://www.datagubbe.se/scenegui/",435
"Seedance 2.5","https://seed.bytedance.com/en/blog/one-take-creation-flexible-referencing-introducing-seedance-2-5",434
"Show HN: I was tired of opening 2 tabs for every HN link, so I made a userscript","https://github.com/twalichiewicz/HNewhere",432
"Google will expand age checks on Android worldwide till the end of the year","https://android-developers.googleblog.com/2026/07/google-play-age-signals-api-safer-experiences.html",422
"More Tailscale tricks for your jailbroken Kindle","https://tailscale.com/blog/jailbroken-kindle-proxy-tun-modes",409
"We Gave GPT 5.6 Sol a Real Business. It Lied, Spammed, and Lost $447","https://www.bottlenecklabs.com/blog/autonomously-run-businesses",406
