title,link,score
"Ghostty is leaving GitHub","https://mitchellh.com/writing/ghostty-leaving-github",3511
"Zed 1.0","https://zed.dev/blog/zed-1-0",2138
"VS Code inserting 'Co-Authored-by Copilot' into commits regardless of usage","https://github.com/microsoft/vscode/pull/310226",1476
"Copy Fail","https://copy.fail/",1465
"Claude Code refuses requests or charges extra if your commits mention "OpenClaw"","https://twitter.com/theo/status/2049645973350363168",1333
"HERMES.md in commit messages causes requests to route to extra usage billing","https://github.com/anthropics/claude-code/issues/53262",1248
"Cursor Camp","https://neal.fun/cursor-camp/",1205
"Where the goblins came from","https://openai.com/index/where-the-goblins-came-from/",1061
"Microsoft and OpenAI end their exclusive and revenue-sharing deal","https://www.bloomberg.com/news/articles/2026-04-27/microsoft-to-stop-sharing-revenue-with-main-ai-partner-openai",986
"Online age verification is the hill to die on","https://x.com/GlennMeder/status/2049088498163216560",968
"Belgium stops decommissioning nuclear power plants","https://dpa-international.com/general-news/urn:newsml:dpa.com:20090101:260430-930-14717/",866
"AI should elevate your thinking, not replace it","https://www.koshyjohn.com/blog/ai-should-elevate-your-thinking-not-replace-it/",863
"Talkie: a 13B vintage language model from 1930","https://talkie-lm.com/introducing-talkie",767
"GitHub Copilot is moving to usage-based billing","https://github.blog/news-insights/company-news/github-copilot-is-moving-to-usage-based-billing/",764
"Why does it take so long to release black fan versions?","https://www.noctua.at/en/expertise/blog/how-can-it-take-so-long-to-release-black-fan-versions",758
"Can I disable all data collection from my vehicle?","https://rivian.com/support/article/can-i-disable-all-data-collection-from-my-vehicle",752
"Mercedes-Benz commits to bringing back physical buttons","https://www.drive.com.au/news/mercedes-benz-commits-to-bringing-back-phycial-buttons/",707
"How Mark Klein told the EFF about Room 641A [book excerpt]","https://thereader.mitpress.mit.edu/the-whistleblower-who-uncovered-the-nsas-big-brother-machine/",702
"The Zig project's rationale for their anti-AI contribution policy","https://simonwillison.net/2026/Apr/30/zig-anti-ai/",676
"Before GitHub","https://lucumr.pocoo.org/2026/4/28/before-github/",674
"Bugs Rust won't catch","https://corrode.dev/blog/bugs-rust-wont-catch/",673
"The gay jailbreak technique (2025)","https://github.com/Exocija/ZetaLib/blob/main/The%20Gay%20Jailbreak/The%20Gay%20Jailbreak.md",666
"Asahi Linux Progress Linux 7.0","https://asahilinux.org/2026/04/progress-report-7-0/",657
"Mozilla's opposition to Chrome's Prompt API","https://github.com/mozilla/standards-positions/issues/1213#issuecomment-4347988313",655
"For Linux kernel vulnerabilities, there is no heads-up to distributions","https://www.openwall.com/lists/oss-security/2026/04/30/10",598
"4TB of voice samples just stolen from 40k AI contractors at Mercor","https://app.oravys.com/blog/mercor-breach-2026",598
"Ti-84 Evo","https://education.ti.com/en/products/calculators/graphing-calculators/ti-84-evo",594
"Tell HN: An app is silently installing itself on my iPhone every day","item?id=47906253",591
"Soft launch of open-source code platform for government","https://www.nldigitalgovernment.nl/news/soft-launch-for-government-open-source-code-platform/",557
"Show HN: WhatCable, a tiny menu bar app for inspecting USB-C cables","https://github.com/darrylmorley/whatcable",553
"How an oil refinery works","https://www.construction-physics.com/p/how-an-oil-refinery-works",536
"Do_not_track","https://donottrack.sh/",519
"Spain's parliament will act against massive IP blockages by LaLiga","https://www.democrata.es/en/politics/congress-and-senate/congress-will-act-against-massive-ip-blockages-by-laliga/",517
"USB Cheat Sheet (2022)","https://fabiensanglard.net/usbcheat/index.html",514
"NetHack 5.0.0","https://nethack.org/v500/release.html",507
"Mistral Medium 3.5","https://mistral.ai/news/vibe-remote-agents-mistral-medium-3-5",497
"Noctua releases official 3D CAD models for its cooling fans","https://www.noctua.at/en/3d-cad-models",496
"UAE to leave OPEC","https://www.ft.com/content/8c354f2d-3e66-47f1-aad4-9b4aa30e386d",492
"Self-updating screenshots","https://interblah.net/self-updating-screenshots",487
"Opus 4.7 knows the real Kelsey","https://www.theargumentmag.com/p/i-can-never-talk-to-an-ai-anonymously",470
"City Learns Flock Accessed Cameras in Children's Gymnastics Room as a Sales Demo","https://www.404media.co/city-learns-flock-accessed-cameras-in-childrens-gymnastics-room-as-a-sales-pitch-demo-renews-contract-anyway/",469
"Ask.com has closed","https://www.ask.com/",467
"Shai-Hulud Themed Malware Found in the PyTorch Lightning AI Training Library","https://semgrep.dev/blog/2026/malicious-dependency-in-pytorch-lightning-used-for-ai-training/",463
"DeepClaude – Claude Code agent loop with DeepSeek V4 Pro","https://github.com/aattaran/deepclaude",461
"New research suggests people can communicate and practice skills while dreaming","https://www.newyorker.com/culture/annals-of-inquiry/its-possible-to-learn-in-our-sleep-should-we",454
"GitHub RCE Vulnerability: CVE-2026-3854 Breakdown","https://www.wiz.io/blog/github-rce-vulnerability-cve-2026-3854",447
"Six years perfecting maps on watchOS","https://www.david-smith.org/blog/2026/04/29/maps-on-watchos/",430
