title,link,score
"Mario Meets Pareto","https://www.mayerowitz.io/blog/mario-meets-pareto",1173
"What happens if an entire class of workers loses faith in their careers","https://www.noemamag.com/why-is-everyone-in-tech-so-sad/",1066
"Discovery Loop","https://www.discoveryloop.com/",947
"AMD acquires Taalas to boost inference performance by etching models in silicon","https://www.theregister.com/systems/2026/08/06/amd-acquires-ai-chip-startup-taalas-to-boost-inference-performance-by-etching-models-into-silicon/5284344",937
"“Code was never the hard part” is an insult to all programmers","https://blog.senko.net/code-was-never-the-hard-part-is-an-insult-to-all-programmers",893
"Changes at Google DeepMind: Demis Hassabis from CEO to Chair, Jeff Dean departs","https://blog.google/company-news/inside-google/message-ceo/next-chapter-ai-momentum/",861
"New Mexico court orders Meta to pay $567m over harms to children’s mental health","https://www.theguardian.com/technology/2026/aug/06/new-mexico-court-meta",803
"DeepSeek V4 Flash 0731","https://arcprize.org/results/deepseek-v4-flash-0731",786
"Crime Pays but Botany Doesn't","https://www.crimepaysbutbotanydoesnt.com/reading-list",696
"Taste Is All That's Left","https://notashelf.dev/posts/taste-is-all-thats-left",694
"Cloudflare OS: an open platform for agents, apps, and work","https://blog.cloudflare.com/cloudflare-os/",661
"How I use LLMs to learn complex topics","https://laurentiugabriel.github.io/blog/articles/how-i-use-llms-to-learn/",642
"Danish high schoolers will have to verbally defend written assignments","https://mezha.net/eng/bukvy/ca117584_denmark_requires_oral/",638
"Mea Culpa – Dark Hours","https://blog.terrygodier.com/2026/08/09/mea-culpa-dark-hours.html",582
"Windows 11's built-in Weather app wastes more than 1 GB of RAM","https://www.notebookcheck.net/Windows-11-s-built-in-Weather-app-wastes-more-than-1-GB-of-RAM.1364205.0.html",550
"Oracle bans AI-generated code from OpenJDK","https://app.dealroom.co/news/feed/oracle-bans-ai-generated-code-from-openjdk-despite-ellison-s-claim-oracle-isn-t-writing-its-own-code",534
"2027 memory capacity is reportedly sold out","https://www.ign.com/articles/ramageddon-continues-another-year-as-2027-memory-capacity-is-reportedly-sold-out",509
"My server is a phone now","https://seg6.space/posts/phone-server/",506
"GitHub Actions and Pages are experiencing degraded availability","https://www.githubstatus.com/incidents/qcvjkzcs7j74",506
"Fastmail offers EU data region","https://www.fastmail.com/blog/fastmail-offers-eu-data-region/",500
"I'm switching my phone from Android to Linux","https://runarcn.no/android-to-linux/",480
"A year of fighting scrapers on my 1.5 million-page website","https://patronview.com/news/99-percent-of-my-website-traffic-is-bots/",454
"Born Against, or why hobby programming communities are against LLM usage","https://blog.fogus.me/llm/born-against.html",442
"DeepMind's WeatherNext model achieves breakthrough forecasting cyclones","https://deepmind.google/blog/weathernext-ai-model-achieves-breakthrough-in-forecasting-cyclones/",441
"The title cards in Blade Runner are amazing","https://randsinrepose.com/archives/blade-runner-title-cards/",440
"A physicist rigged his pet hamster’s wheel to upload to Strava","https://www.runnersworld.com/news/a73355106/hamster-wheel-strava-running/",438
"_for-sale DNS records","https://specification.website/spec/foundations/for-sale-dns/",433
"Beating GPT-5.6 Sol on retrieval with 100x cheaper open models","https://neon.com/blog/how-castform-neon-beats-frontier-models-on-price-and-efficiency",433
"Timeline of the OpenAI accidental attack against Hugging Face","https://simonwillison.net/2026/Aug/7/openai-timeline/",426
"Assembly Hall of Shame","https://github.com/xoreaxeaxeax/asm-hall-of-shame",426
"Software development with AI is starting to feel like cooking steak","https://blog.sydorets.com/en/posts/almost-no-skill-required-to-cook-a-steak/",417
"Quake – 30th Anniversary Update","https://slayersclub.bethesda.net/en-US/news/quake-30th-anniversary-update",414
"The Nixpkgs core team has disbanded","https://discourse.nixos.org/t/the-nixpkgs-core-team-has-disbanded/79413",401
"NASA figured out how to keep its Voyager 2 probe running for another year","https://www.space.com/space-exploration/voyager/nasa-figured-out-how-to-keep-its-48-year-old-voyager-2-probe-running-for-yet-another-year",378
"Hardware backdoors in some x86 CPUs","https://github.com/xoreaxeaxeax/rosenbridge",375
"Dithered QR Codes","https://www.andrewt.net/dithered-qr-codes/wtf/",365
"U.S. Department of Energy Launches the Genesis Open Models Initiative","https://genesisopenmodels.anl.gov/",353
"App Store Rejection of the Week: Dark Hours","https://daringfireball.net/2026/08/app_store_rejection_of_the_week_dark_hours",346
"Humans missed 1 in 3 threats approving AI agent commands across 40k game runs","https://scalex.dev/blog/ai-agent-permissions-stats/",338
"Retraction: The App Store Rejection of the Week That Was a Correct Rejection","https://daringfireball.net/2026/08/retraction_app_store_rejection_of_the_week",334
"We replaced Redis with MySQL for inventory reservations and it scaled","https://shopify.engineering/scaling-inventory-reservations",333
"Making Postgres 300x faster for analytics: batching, operator fusion, and SIMD","https://malisper.me/how-we-made-postgres-hundreds-of-times-faster-the-query-engine/",329
"Improving GPT‑5.6 Sol in ChatGPT, expanding GPT‑5.6 Luna access for free users","https://openai.com/index/improving-gpt-5-6-sol-in-chatgpt/",314
"US Military's cyber command unit grapples with cluster of deaths by suicide","https://www.bloomberg.com/news/articles/2026-08-06/us-military-s-cyber-command-unit-grapples-with-cluster-of-deaths-by-suicide",310
"Everything you do is being recorded","https://www.theatlantic.com/technology/2026/05/ai-wearable-surveillance-countermeasures/687203/",309
"Managing AI Coding Costs at Scale","https://www.databricks.com/blog/managing-ai-coding-costs-scale",309
"Scientists discover Kelvin-Helmholtz Instability on the surface of the Sun","https://nso.edu/press-release/nsf-inouye-solar-telescope-enables-major-discovery-of-a-hidden-solar-process/",303
"Taxi drivers rarely die of Alzheimer's","https://theconversation.com/taxi-drivers-rarely-die-of-alzheimers-how-complex-mental-maps-and-spatial-reasoning-protect-your-brain-286650",293
"Lost my phone at the office. Claude suggested tracking Bluetooth signal strength","https://twitter.com/un1c0rnioz/status/2084686552299634805",293
"Silicon Valley misreads science fiction and undermines democracy","https://techcrunch.com/2026/08/09/historian-jill-lepore-says-the-tech-industry-is-led-by-bad-readers-who-are-undermining-democracy/",268
"Ancient Library – 1,060 Greek/Latin texts, click any word to parse it","https://ancientlibrary.net/",256
"Amazon Is Creating the Biggest Pollution Source in the Country","https://newrepublic.com/post/214111/amazon-data-center-biggest-pollution-source-entire-country",256
"Water system controllers don't belong on the internet, says ex-NSA chief","https://www.theregister.com/security/2026/08/07/water-system-controllers-dont-belong-on-the-internet-says-ex-nsa-chief-after-suspected-iran-attacks/5285070",253
"Os8088: A powerful Mac-like OS for the IBM XT, 286, 386","https://os8088.com/",251
"Tom Stanton's supersonic trebuchet breaks sound barrier with gravity alone","https://www.techeblog.com/tom-stanton-supersonic-trebuchet/",250
"Ask HN: What are you working on? (August 2026)","item?id=49233423",246
"The Valley of Webhooks","https://weli.dev/blog/the-valley-of-webhooks/",245
"Cool URIs Don't Change (1998)","https://www.w3.org/Provider/Style/URI",242
"What Happened to HackerOne?","https://blog.teknogeek.io/posts/what-happened-to-hackerone/",238
"Launch HN: ProvenMetal (YC S26) delivers circuit boards in days instead of weeks","https://provenmetal.com",233
"Web Security is Too Hard","https://textslashplain.com/2026/08/04/security-is-hard-yall/",226
"Welcoming the Nepalese Government to Have I Been Pwned","https://www.troyhunt.com/welcoming-the-nepalese-government-to-have-i-been-pwned/",220
"Show HN: Wyzer Programming Language","https://github.com/Wyzer-Lang/wyzer",220
"Docker Sandboxes – Disposable, isolated sandboxes for AI agents","https://www.docker.com/products/docker-sandboxes/",217
"Kitesurf: Agent-first browser that runs in V8 isolates","https://blog.cloudflare.com/kitesurf/",217
"Auto mode is now the default in Claude Code","https://claude.com/blog/auto-mode-default-in-claude-code",214
"Bioengineered chewing gum may offer a way to fight HPV and other microbes","https://www.sciencedaily.com/releases/2026/08/260803080917.htm",214
"Triton: DirectX 11 Driver for QEMU","https://blog.getutm.app/2026/introducing-triton-directx-11-driver-for-qemu/",213
