title,link,score
"Alberta startup sells no-tech tractors for half price","https://wheelfront.com/this-alberta-startup-sells-no-tech-tractors-for-half-price/",2304
"DeepSeek v4","https://api-docs.deepseek.com/news/news260424",2067
"GPT-5.5","https://openai.com/index/introducing-gpt-5-5/",1568
"Framework Laptop 13 Pro","https://frame.work/laptop13pro",1472
"I am building a cloud","https://crawshaw.io/blog/building-a-cloud",1108
"I cancelled Claude: Token issues, declining quality, and poor support","https://nickyreinert.de/en/2026/2026-04-24-claude-critics/",963
"Palantir employees are starting to wonder if they're the bad guys","https://www.wired.com/story/palantir-employees-are-starting-to-wonder-if-theyre-the-bad-guys/",953
"An update on recent Claude Code quality reports","https://www.anthropic.com/engineering/april-23-postmortem",939
"Apple fixes bug that cops used to extract deleted chat messages from iPhones","https://techcrunch.com/2026/04/22/apple-fixes-bug-that-cops-used-to-extract-deleted-chat-messages-from-iphones/",882
"Bitwarden CLI compromised in ongoing Checkmarx supply chain campaign","https://socket.dev/blog/bitwarden-cli-compromised",865
"SpaceX says it has agreement to acquire Cursor for $60B","https://twitter.com/spacex/status/2046713419978453374",820
"Meta tells staff it will cut 10% of jobs","https://www.bloomberg.com/news/articles/2026-04-23/meta-tells-staff-it-will-cut-10-of-jobs-in-push-for-efficiency",796
"Amateur armed with ChatGPT solves an Erdős problem","https://www.scientificamerican.com/article/amateur-armed-with-chatgpt-vibe-maths-a-60-year-old-problem/",755
"US special forces soldier arrested after allegedly winning $400k on Maduro raid","https://www.cnn.com/2026/04/23/politics/us-special-forces-soldier-arrested-maduro-raid-trade",689
"Asahi Linux Progress Linux 7.0","https://asahilinux.org/2026/04/progress-report-7-0/",620
"GoDaddy gave a domain to a stranger without any documentation","https://anchor.host/godaddy-gave-a-domain-to-a-stranger-without-any-documentation/",608
"1-Bit Hokusai's "The Great Wave" (2023)","https://www.hypertalking.com/2023/05/08/1-bit-pixel-art-of-hokusais-the-great-wave-off-kanagawa/",606
"New 10 GbE USB adapters are cooler, smaller, cheaper","https://www.jeffgeerling.com/blog/2026/new-10-gbe-usb-adapters-cooler-smaller-cheaper/",606
"If America's so rich, how'd it get so sad?","https://www.derekthompson.org/p/if-americas-so-rich-howd-it-get-so",556
"Tell HN: An app is silently installing itself on my iPhone every day","item?id=47906253",547
"Sabotaging projects by overthinking, scope creep, and structural diffing","https://kevinlynagh.com/newsletter/2026_04_overthinking/",527
"Trump fires NSF's oversight board","https://www.science.org/content/article/trump-fires-nsf-s-oversight-board",510
"USB Cheat Sheet (2022)","https://fabiensanglard.net/usbcheat/index.html",496
"GitHub CLI now collects pseudoanonymous telemetry","https://cli.github.com/telemetry",463
"Our eighth generation TPUs: two chips for the agentic era","https://blog.google/innovation-and-ai/infrastructure-and-cloud/google-cloud/eighth-generation-tpu-agentic-era/",452
"Website streamed live directly from a model","https://flipbook.page/",435
"Over-editing refers to a model modifying code beyond what is necessary","https://nrehiew.github.io/blog/minimal_editing/",421
"Why has there been so little progress on Alzheimer's disease?","https://freakonomics.com/podcast/why-has-there-been-so-little-progress-on-alzheimers-disease/",413
"Firefox Has Integrated Brave's Adblock Engine","https://itsfoss.com/news/firefox-ships-brave-adblock-engine/",412
"Investigation uncovers two sophisticated telecom surveillance campaigns","https://techcrunch.com/2026/04/23/surveillance-vendors-caught-abusing-access-to-telcos-to-track-peoples-phone-locations-researchers-say/",410
"French government agency confirms breach as hacker offers to sell data","https://www.bleepingcomputer.com/news/security/french-govt-agency-confirms-breach-as-hacker-offers-to-sell-data/",408
"The Free Universal Construction Kit","https://fffff.at/free-universal-construction-kit/",375
"Replace IBM Quantum back end with /dev/urandom","https://github.com/yuvadm/quantumslop/blob/25ad2e76ae58baa96f6219742459407db9dd17f5/URANDOM_DEMO.md",371
"The Vercel breach: OAuth attack exposes risk in platform environment variables","https://www.trendmicro.com/en_us/research/26/d/vercel-breach-oauth-supply-chain.html",369
"Using coding assistance tools to revive projects you never were going to finish","https://blog.matthewbrunelle.com/its-ok-to-use-coding-assistance-tools-to-revive-the-projects-you-never-were-going-to-finish/",359
"Arch Linux Now Has a Bit-for-Bit Reproducible Docker Image","https://antiz.fr/blog/archlinux-now-has-a-reproducible-docker-image/",352
"Technical, cognitive, and intent debt","https://martinfowler.com/fragments/2026-04-02.html",345
"EU Age Control: The trojan horse for digital IDs","https://juraj.bednar.io/en/blog-en/2026/04/17/eu-age-control-the-trojan-horse-for-digital-ids/",342
"Scoring Show HN submissions for AI design patterns","https://www.adriankrebs.ch/blog/design-slop/",332
"My audio interface has SSH enabled by default","https://hhh.hn/rodecaster-duo-fw/",324
"3.4M Solar Panels","https://tech.marksblogg.com/american-solar-farms-v2.html",319
"MacBook Neo and how the iPad should be","https://craigmod.com/essays/ipad_neo/",317
"Plain text has been around for decades and it’s here to stay","https://unsung.aresluna.org/plain-text-has-been-around-for-decades-and-its-here-to-stay/",311
"Show HN: Honker – Postgres NOTIFY/LISTEN Semantics for SQLite","https://github.com/russellromney/honker",310
"Statecharts: hierarchical state machines","https://statecharts.dev/",297
"OpenAI Privacy Filter","https://openai.com/index/introducing-openai-privacy-filter/",292
"Flickr: The first and last great photo platform","https://petapixel.com/2026/04/22/flickr-the-first-and-last-great-photo-platform/",290
"Paraloid B-72","https://en.wikipedia.org/wiki/Paraloid_B-72",285
"Parallel agents in Zed","https://zed.dev/blog/parallel-agents",279
"Habitual coffee intake shapes the microbiome, modifies physiology and cognition","https://www.nature.com/articles/s41467-026-71264-8",272
"Incident with multple GitHub services","https://www.githubstatus.com/incidents/myrbk7jvvs6p",267
"The Joy of Folding Bikes","https://blog.korny.info/2026/04/19/the-joy-of-folding-bikes",258
"Ultraviolet corona discharges on treetops during storms","https://www.psu.edu/news/earth-and-mineral-sciences/story/treetops-glowing-during-storms-captured-film-first-time",258
"Cal.diy: open-source community edition of cal.com","https://github.com/calcom/cal.diy",257
"OpenAI releases GPT-5.5 and GPT-5.5 Pro in the API","https://developers.openai.com/api/docs/changelog",256
"Using the internet like it's 1999","https://joshblais.com/blog/using-the-internet-like-its-1999/",255
"Show HN: A Karpathy-style LLM wiki your agents maintain (Markdown and Git)","https://github.com/nex-crm/wuphf",255
"Another Day Has Come","https://daringfireball.net/2026/04/another_day_has_come",253
"What async promised and what it delivered","https://causality.blog/essays/what-async-promised/",248
"Niri 26.04: Scrollable-tiling Wayland compositor","https://github.com/niri-wm/niri/releases/tag/v26.04",243
"Email could have been X.400 times better","https://buttondown.com/blog/x400-vs-smtp-email",236
"Issue links now open in a popup","https://github.com/orgs/community/discussions/192666",235
"Youth Suicides Declined After Creation of National Hotline","https://www.nytimes.com/2026/04/22/science/988-youth-suicides-decline.html",230
"Waymo says can't avoid bike lanes because riders want to be dropped off in them","https://road.cc/news/driverless-taxis-veering-into-cycle-lanes-normal-practice-says-waymo",228
"Mahjong: A Visual Guide","https://themahjong.guide/",227
"Girl, 10, finds rare Mexican axolotl under Welsh bridge","https://www.bbc.com/news/articles/c9d4zgnqpqeo",226
"Show HN: Turning a Gaussian Splat into a videogame","https://blog.playcanvas.com/turning-a-gaussian-splat-into-a-videogame/",215
"Hear your agent suffer through your code","https://github.com/AndrewVos/endless-toil",215
"I'm done making desktop applications (2009)","https://www.kalzumeus.com/2009/09/05/desktop-aps-versus-web-apps/",204
"TorchTPU: Running PyTorch Natively on TPUs at Google Scale","https://developers.googleblog.com/torchtpu-running-pytorch-natively-on-tpus-at-google-scale/",203
"Work with the garage door up (2024)","https://notes.andymatuschak.org/Work_with_the_garage_door_up",199
"UK Biobank health data keeps ending up on GitHub","https://biobank.rocher.lc",196
"Simulacrum of Knowledge Work","https://blog.happyfellow.dev/simulacrum-of-knowledge-work/",194
"Martin Galway's music source files from 1980's Commodore 64 games","https://github.com/MartinGalway/C64_music",193
"Ping-pong robot beats top-level human players","https://www.reuters.com/sports/ping-pong-robot-ace-makes-history-by-beating-top-level-human-players-2026-04-22/",190
"Show HN: I've built a nice home server OS","https://lightwhale.asklandd.dk/",186
"Open source memory layer so any AI agent can do what Claude.ai and ChatGPT do","https://alash3al.github.io/stash?_v01",182
"Dillo Browser Release 3.3.0","https://dillo-browser.org/release/3.3.0/",175
"Discret 11, the French TV encryption of the 80s (2020)","https://fabiensanglard.net/discret11/",175
"Tariffs Raised Consumers' Prices, but the Refunds Go Only to Businesses","https://www.nytimes.com/2026/04/24/us/politics/companies-consumers-tariff-refunds.html",170
"GnuPG – post-quantum crypto landing in mainline","https://lists.gnupg.org/pipermail/gnupg-announce/2026q2/000504.html",169
"Refuse to let your doctor record you","https://buttondown.com/maiht3k/archive/why-you-should-refuse-to-let-your-doctor-record/",167
"The Super Nintendo Cartridges (2024)","https://fabiensanglard.net/snes_carts/",164
"America's Geothermal Breakthrough","https://oilprice.com/Alternative-Energy/Geothermal-Energy/Americas-Geothermal-Breakthrough-Could-Unlock-a-150-Gigawatt-Energy-Revolution.html",163
"Workspace Agents in ChatGPT","https://openai.com/index/introducing-workspace-agents-in-chatgpt/",161
"GPT‑5.5 Bio Bug Bounty","https://openai.com/index/gpt-5-5-bio-bug-bounty/",155
"Math Is Hard – OpenBSD Stories","http://miod.online.fr/software/openbsd/stories/vaxfp.html",152
"The 1944 Warsaw Uprising, in Color","https://www.barwypowstania.pl/",148
"Google Flow Music","https://www.flowmusic.app/",147
"You don't need advice from editors on rejected manuscripts","https://twitter.com/orsonscottcard/status/2046702294406680751",144
"Diatec, known for its mechanical keyboard brand FILCO, has ceased operations","https://gigazine.net/gsc_news/en/20260424-filco-diatec/",143
"Lambda Calculus Benchmark for AI","https://victortaelin.github.io/lambench/",142
"Hokusai and Tesselations","https://dl.ndl.go.jp/pid/1899550/1/11/",141
"A web-based RDP client built with Go WebAssembly and grdp","https://github.com/nakagami/grdpwasm",138
"A 3D Body from Eight Questions – No Photo, No GPU","https://clad.you/blog/posts/questionnaire-mlp/",138
"Colorado Adds Open-Source Exemption to Age-Verification Bill","https://fosstodon.org/@carlrichell/116460505717380644",133
"Mine, an IDE for Coalton and Common Lisp","https://coalton-lang.github.io/mine/",131
"Aspartame is not that bad? (2022)","https://dynomight.net/aspartame/",131
"The Visible Zorker: Zork 1","https://eblong.com/infocom/visi/zork1/",130
"Eden AI – European Alternative to OpenRouter","https://www.edenai.co",129
"How to Implement an FPS Counter","https://vplesko.com/posts/how_to_implement_an_fps_counter.html",129
"Show HN: Browser Harness – Gives LLM freedom to complete any browser task","https://github.com/browser-use/browser-harness",129
"Columnar Storage Is Normalization","https://buttondown.com/jaffray/archive/columnar-storage-is-normalization/",129
"Surveillance Pricing: Exploiting Information Asymmetries","https://lpeproject.org/blog/surveillance-pricing-exploiting-information-asymmetries/",126
"Kernel code removals driven by LLM-created security reports","https://lwn.net/Articles/1068928/",124
"New study compares growing corn for energy to solar production","https://www.anthropocenemagazine.org/2025/04/new-study-compares-growing-corn-for-energy-to-solar-production-its-no-contest/",120
"New study compares growing corn for energy to solar production","https://www.anthropocenemagazine.org/2025/04/new-study-compares-growing-corn-for-energy-to-solar-production-its-no-contest/",120
"Cosmology with Geometry Nodes","https://www.blender.org/user-stories/cosmology-with-geometry-nodes/",114
"Tempest vs. Tempest: The Making and Remaking of Atari's Iconic Video Game","https://tempest.homemade.systems",111
"Dear friend, you have built a Kubernetes (2024)","https://www.macchaffee.com/blog/2024/you-have-built-a-kubernetes/",108
"Mine, a Coalton and Common Lisp IDE","https://coalton-lang.github.io/20260424-mine/",106
"Familiarity is the enemy: On why Enterprise systems have failed for 60 years","https://felixbarbalet.com/familiarity-is-the-enemy/",103
"If you stop hiring juniors, your senior engineers own you","https://evalcode.com/posts/if-you-stop-hiring-juniors-your-seniors-own-you/",102
"OpenAI's response to the Axios developer tool compromise","https://openai.com/index/axios-developer-tool-compromise/",102
"Agentic AI systems violate the implicit assumptions of database design","https://arpitbhayani.me/blogs/defensive-databases/",101
"Google banks on AI edge to catch up to cloud rivals Amazon and Microsoft","https://www.ft.com/content/2429f0f0-b685-4747-b425-bf8001a2e94c",101
"Iran claims US exploited networking equipment backdoors during strikes","https://www.tomshardware.com/tech-industry/cyber-security/iran-claims-us-exploited-networking-equipment-backdoors-during-strikes",101
"GitHub Merge Queue Silently Reverted Code","https://www.githubstatus.com/incidents/zsg1lk7w13cf",99
"Tell HN: Claude 4.7 is ignoring stop hooks","item?id=47895029",95
"Ibuilt a tiny Unix‑like 'OS' with shell and filesystem for Arduino UNO (2KB RAM)","https://github.com/Arc1011/KernelUNO",95
"How Hard Is It to Open a File?","https://blog.sebastianwick.net/posts/how-hard-is-it-to-open-a-file/",93
"AGPLv3§74 Empowers Users to Thwart Badgeware Like OnlyOffice","https://sfconservancy.org/blog/2026/apr/16/badgeware-onlyoffice-nextcloud-affero-gpl/",93
"Lute: A Standalone Runtime for Luau","https://lute.luau.org/",92
"Commenting and approving pull requests","https://www.jakeworth.com/posts/on-commenting-and-approving-pull-requests/",90
"Borrow-checking without type-checking","https://www.scattered-thoughts.net/writing/borrow-checking-without-type-checking/",89
"Show HN: AI memory with biological decay (52% recall)","https://github.com/sachitrafa/YourMemory",87
"Plants can sense the sound of rain, a new study finds","https://news.mit.edu/2026/plants-can-sense-sound-rain-new-study-finds-0422",87
"Only one side will be the true successor to MS-DOS – Windows 2.x","https://blisscast.wordpress.com/2026/04/21/windows-2-gui-wonderland-12a/",86
"PCR is a surprisingly near-optimal technology","https://nikomc.com/2026/04/22/pcr/",86
"Exposing Floating Point – Bartosz Ciechanowski (2019)","https://ciechanow.ski/exposing-floating-point/",82
"Could a Claude Code routine watch my finances?","https://driggsby.com/blog/claude-code-routine-watch-my-finances",82
"Show HN: Broccoli, one shot coding agent on the cloud","https://github.com/besimple-oss/broccoli",82
"I spent 6 years building my Kanban as I hated how managers run the boards","https://www.npmjs.com/package/ooko",81
"DeepSeek-V4 on Day 0: From Fast Inference to Verified RL with SGLang and Miles","https://www.lmsys.org/blog/2026-04-25-deepseek-v4/",79
"I spent years trying to make CSS states predictable","https://tenphi.me/blog/why-i-spent-years-trying-to-make-css-states-predictable/",79
"Bring Your Agent to Teams","https://microsoft.github.io/teams-sdk/blog/bring-your-agent-to-teams/",79
"GPT-5.5: Mythos-Like Hacking, Open to All","https://xbow.com/blog/mythos-like-hacking-open-to-all",77
"Tesla discloses $2B AI hardware company acquisition in filing","https://electrek.co/2026/04/23/tesla-tsla-quietly-discloses-2-billion-ai-hardware-acquisition-10q/",77
"The route from Prussian military headquarters to Gary Gygax’s basement","https://asteriskmag.com/issues/14/shall-we-play-a-game",76
"Optimizing Datalog for the GPU","https://dl.acm.org/doi/10.1145/3669940.3707274",73
"AI can cost more than human workers now","https://www.axios.com/2026/04/26/ai-cost-human-workers",72
"Notepad++ for Mac – Independent community port","https://notepad-plus-plus-mac.org/",69
"8087 Emulation on 8086 Systems","https://www.os2museum.com/wp/learn-something-old-every-day-part-xx-8087-emulation-on-8086-systems/",66
"A Man Who Invented the Future","https://hedgehogreview.com/web-features/thr/posts/the-man-who-invented-the-future",66
"The Illuminated Man: an unconventional portrait of JG Ballard","https://www.theguardian.com/books/2026/apr/20/the-illuminated-man-by-christopher-priest-and-nina-allan-review-an-unconventional-portrait-of-jg-ballard",66
"Sloppy Copies","https://www.markround.com/blog/2026/04/19/sloppy-copies/",62
"Insights into firewood use by early Middle Pleistocene hominins","https://www.sciencedirect.com/science/article/pii/S0277379126001824",62
"MoQ Boy","https://moq.dev/blog/moq-boy/",61
"The Nintendo Switch Switch (2019)","https://blog.cynthia.re/post/nintendo-switch-ethernet-switch",61
"Show HN: Kloak, A secret manager that keeps K8s workload away from secrets","https://getkloak.io/",61
"The fastest Linux timestamps","https://www.hmpcabral.com/2026/04/26/the-fastest-linux-timestamps/",60
"Cheating at Tetris","https://chalkdustmagazine.com/features/cheating-at-tetris/",60
"AI Might Be Lying to Your Boss","https://williamoconnell.me/blog/post/ai-ide/",60
"Panipat: The rise of the Mughals","https://www.historytoday.com/archive/feature/panipat-rise-mughals",60
"When your digital life vanishes","https://www.newyorker.com/magazine/2026/04/27/when-your-digital-life-vanishes",59
"Which one is more important: more parameters or more computation? (2021)","https://parl.ai/projects/params_vs_compute/",59
"Approximating Hyperbolic Tangent","https://jtomschroeder.com/blog/approximating-tanh/",55
"The Long Reply","https://ironicsans.ghost.io/the-long-reply/",54
"If more than 50% press blue, everyone survives. Red pressers always survive","https://shankwiler.com/posts/button-survival-hypothetical/",54
"QNX on the Commodore 900 – Raiders of the lost hard drive [video] (2025)","https://archive.fosdem.org/2025/schedule/event/fosdem-2025-5479-raiders-of-the-lost-hard-drive/",53
"Oxford All Souls College General Examination (2025) [pdf]","https://www.asc.ox.ac.uk/sites/default/files/2025-10/General%202025.pdf",53
"XOXO Festival Archive","https://xoxofest.com/",52
"The George Business, by Roger Zelazny (1980)","https://www.eternal-flame.org/library/oldlibrary/georgebusiness.html",46
"A populist wave is rising to end the 'captive' repair economy","https://www.cnbc.com/2026/04/25/right-to-repair-consumer-prices-affordability-economy-elections.html",46
"Show HN: Tiao, A two-player turn-based board game","https://playtiao.com",45
"Show HN: leaf – a terminal Markdown previewer with a GUI-like experience","https://github.com/RivoLink/leaf",45
"The Surveillance Accountability Act","https://www.surveillanceaccountability.com",44
"APL is more French than English","https://www.jsoftware.com/papers/perlis78.htm",43
"Reverse-engineering infrared-based electronic shelf labels","https://www.furrtek.org/?a=esl",43
"Turkey to Ban Anonymous VPNs","https://reclaimthenet.org/turkey-to-ban-anonymous-vpns",43
"Framework's new Linux laptop is selling faster than its Windows one","https://www.pcworld.com/article/3123900/framework-new-linux-laptop-is-selling-faster-than-its-windows-one.html",41
"What the FCC router ban means for FOSS","https://sfconservancy.org/blog/2026/apr/02/fcc-router-ban/",41
"Orinoco: Young Generation Garbage Collection","https://v8.dev/blog/orinoco-parallel-scavenger",40
"Stock markets are too high and set to fall, says Bank of England deputy","https://www.bbc.com/news/articles/c75kp1y43lgo",38
"Design.md: A format spec for describing a visual identity to coding agents","https://github.com/google-labs-code/design.md",37
"Show HN: The Unix Magic poster, annotated (updated)","https://github.com/drio/unixmagic",36
"The reporters at this news site are AI bots. OpenAI appears to be funding it","https://modelrepublic.substack.com/p/the-reporters-at-this-news-site-are",36
"Just How Much Should You Worry About Eating That Burnt Toast?","https://www.mcgill.ca/oss/article/medical-critical-thinking-health-and-nutrition/just-how-much-should-you-worry-about-eating-burnt-toast",34
"Mise-En-Place","https://mise.jdx.dev/",33
"After three months on Linux, I don't miss Windows at all","https://www.theverge.com/tech/918797/switched-to-linux-dont-miss-windows",31
"My .config Ship of Theseus","https://shift1w.com/blog/config-of-theseus/",31
"Reviving BrowserID in 2026","https://wakamoleguy.com/p/reviving-browserid-in-2026",31
"Lessons from building multiplayer browsers","https://www.alejandro.pe/writing/sail-muddy-lessons",30
"I have officially retired from Emacs","https://nullprogram.com/blog/2026/04/26/",30
"California Coastal Community Must Reject CBP's AI-Powered Surveillance Tower","https://www.eff.org/deeplinks/2026/04/california-coastal-community-must-reject-cbps-ai-powered-surveillance-tower",28
"Show HN: Startup Equity Adventure Game","https://options-game-polymathrobotics.pythonanywhere.com/",27
"Show HN: A free ESG stock screener that publishes its losses and methodology","https://jumpstartsignal.com/",27
"Microsoft tackles quality control issues. Just kidding","https://www.theregister.com/2026/04/24/microsoft_seeks_quality_improvements_by/",27
"Maine's governor vetoes data center moratorium","https://techcrunch.com/2026/04/25/maines-governor-vetoes-data-center-moratorium/",27
"Godot 4.7 Beta with HDR Output, Ray-Tracing Improvements and Editor Enhancements","https://www.phoronix.com/news/Godot-4.7-Beta",26
"French tax official sold crypto investors' addresses: kidnappings followed","https://twitter.com/MarioNawfal/status/2047773069607854512",25
"The QEII garden – built from its own ruins – opens in Regent's Park","https://www.ianvisits.co.uk/articles/a-garden-built-from-its-own-ruins-opens-in-regents-park-89152/",24
"US is making Europe pay dearly for its half-hearted electrification","https://www.programmablemutter.com/cp/195461224",24
"Show HN: I remade my blog into a Windows 3.1 environment","https://passo.uno/",23
"Microsoft Reportedly Looking at Rebasing Azure Linux on Fedora","https://www.phoronix.com/news/MS-Azure-Linux-Fedora-Based",23
"Is Italy the new tax haven for the global rich?","https://www.bbc.com/worklife/article/20260421-is-italy-the-new-tax-haven-for-the-global-rich",23
"TIPSv2: Advancing Vision-Language Pretraining with Enhanced Patch-Text Alignment","https://gdm-tipsv2.github.io/",23
"Larry McMurtry's Tall Tales","https://www.thenation.com/article/culture/larry-mcmurtry-biography/",23
"Does internet advertising work? (2020)","https://freakonomics.com/podcast/does-advertising-actually-work-part-2-digital-ep-441/",23
"Google Search to classify 'back button hijacking' as spam","https://9to5google.com/2026/04/13/google-search-back-button-hijacking/",23
"My Homemade PBX (2002)","https://wandel.ca/homepage/pbx.html",22
"Low-Dose Aspirin Usage for Primary Prevention Has Fallen by >50% Since 2018","https://www.epicresearch.org/articles/low-dose-aspirin-usage-for-primary-prevention-of-cardiovascular-disease-has-fallen-by-more-than-half-since-2018",21
"Show HN: Auge Vision from Your Terminal","https://auge.franzai.com/",21
"Eurosky.social Account","https://eurosky.tech/accounts/",21
"Music of the BBC Microcomputer System","https://www.acornelectron.co.uk/eug/72/a-musi.html",20
"The Last of the Lost Generation","https://porticoquarterly.com/book/the-last-of-the-lost-generation/",20
"Neal Stephenson: The Real Threat Isn't AI, It's Us [video]","https://www.youtube.com/watch?v=pUSWa5hOCtU",20
"MenteDB – open-source memory database for AI agents (Rust)","https://github.com/nambok/mentedb",20
"Apple TV remote is the perfect accessory for vibe coding","https://github.com/machinarii/hypervibe",20
"Nicholas Carlini – Black-hat LLMs [video]","https://www.youtube.com/watch?v=1sd26pWhfmg",20
"At SpaceX, AI is burning the cash that Starlink earns","https://www.reuters.com/business/finance/spacex-ai-is-burning-cash-that-starlink-earns-2026-04-24/",19
"FusionCore: ROS 2 sensor fusion (IMU and GPS and encoders)","https://github.com/manankharwar/fusioncore",19
"Show HN: VT Code – Rust TUI coding agent with multi-provider support","https://github.com/vinhnx/VTCode",18
"Ask HN: Do you read differently now that anything could be AI generated?","item?id=47902507",18
"Principia Softwarica: Fundamental Literate System Programs","https://principia-softwarica.org/",17
"ENIAC's Architects Wove Stories Through Computing","https://spectrum.ieee.org/eniac-80th-anniversary-weaving",17
"California's Billionaire Tax Has the Signatures to Make the Ballot, Backers Say","https://www.wsj.com/politics/policy/californias-billionaire-tax-has-the-signatures-to-make-the-ballot-backers-say-1c2da7bb",16
"Generalised plusequals","https://leontrolski.github.io/alt.html",16
"ELI: Explain Like I'm for any ArXiv Paper","https://eli.voxos.ai/",15
"Show HN: AgentSwarms – free hands-on playground to learn agentic AI, no setup","https://agentswarms.fyi/",15
"Cactus, a work-stealing parallel recursion runtime for C","https://github.com/xtellect/cactus",14
"US power demand to reach record highs in 2026–2027 driven by AI and data centers","https://www.reuters.com/business/energy/us-power-use-beat-record-highs-2026-2027-ai-use-surges-eia-says-2026-04-07/",13
"US Navy tests laser weapon that shoots down drones on the USS George H.W. Bush","https://www.tomshardware.com/tech-industry/us-navy-tests-laser-weapon-that-shoots-down-drones-on-the-uss-george-h-w-bush-supercarrier-system-tracked-engaged-and-neutralized-multiple-target-drones-has-essentially-unlimited-power-source",13
"Voice Modems","https://computer.rip/2026-04-26-voice-modems.html",12
"The disappearing AI middle class","https://thenewstack.io/disappearing-ai-middle-class/",12
"Utah data center will generate and consume more power than state, nears approval","https://www.sltrib.com/news/2026/04/25/hyperscale-data-center-may-be/",12
"Show HN: Talisman – A Android instrument played with two thumbs","https://talisman.by-igor.com/",12
"How OpenAI Kills Oracle","https://www.wheresyoured.at/how-openai-kills-oracle/",12
"Useknockout – open-source background removal API, 40× cheaper than remove.bg","https://github.com/useknockout/api",12
"Avnac: Open-source local-first Canva alternative","https://avnac.design/",12
"Simple Sabotage of Agents","https://alexschroeder.ch/view/2026-03-12-agent-sabotage",11
"How I leared what a decoupling capacitor is for, the hard way","https://nbelakovski.substack.com/p/how-i-learned-what-a-decoupling-capacitor",11
"Show HN: Agent MCP Studio – build multi-agent MCP systems in a browser tab","https://www.agentmcp.studio",11
"Software engineering may no longer be a lifetime career","https://www.seangoedecke.com/software-engineering-may-no-longer-be-a-lifetime-career/",10
"High energy sports drinks boost performance even if you spit them out","https://www.theguardian.com/science/2009/apr/15/high-energy-carbohydrate-drinks-performance-brain",10
"Trump's Final Term Ends in 999 Days (Countdown)","https://logwork.com/countdown-h5o4",10
"Former MIT president says the US is losing the innovation race to China","https://www.npr.org/2026/04/25/nx-s1-5772703/former-mit-president-says-the-us-is-losing-the-innovation-race-to-china",10
"The Military Rockets That Launched the Space Age (2023)","https://airandspace.si.edu/stories/editorial/military-rockets-launched-space-age",9
"Show HN: Matrirc – run irssi in 2026, talk to people on Matrix","https://github.com/pawelb0/matrirc",9
"Our Principles","https://openai.com/index/our-principles/",9
"Apple IIc: A smaller, sleeker Apple II from 1984","https://dfarq.homeip.net/apple-iic/",9
"The bull case for graph DBs in law","https://alanyahya.com/writing/bull-case-graph-dbs-law",9
"Enterprises Are Rethinking Kubernetes","https://www.infoworld.com/article/4161056/enterprises-are-rethinking-kubernetes.html",9
"Things C++26 define_static_array can't do","https://quuxplusone.github.io/blog/2026/04/24/define-static-array/",7
"Remembering the 1984 Unix PC. Why did it fail so hard?","https://tech.slashdot.org/story/26/04/26/2038235/remembering-the-1984-unix-pc-why-did-it-fail-so-hard",7
"Spanish archaeologists discover trove of ancient shipwrecks in Bay of Gibraltar","https://www.theguardian.com/science/2026/apr/15/hidden-treasures-spanish-archaeologists-discover-trove-of-ancient-shipwrecks-in-bay-of-gibraltar",7
"A New Idea to Save the Climate? Dam the Bering Strait.","https://www.nytimes.com/2026/04/24/climate/amoc-bering-strait-dam.html",7
"Boats crash/break and can kill their passengers when falling certain distances","https://bugs.mojang.com/browse/MC/issues/MC-119369",7
"DeepSeek V4 is a display of Huawei AI chip's capabilities","https://www.technologyreview.com/2026/04/24/1136422/why-deepseeks-v4-matters/",6
"Oil jumps, stock futures slip as US-Iran talks stall","https://www.reuters.com/business/energy/global-markets-global-markets-2026-04-26/",6
"How to Kill a Philosophical Zombie","https://sopathaye.substack.com/p/how-to-kill-a-philosophical-zombie",6
""That's how floating point errors and triangle numbers solved a mystery."","https://unsung.aresluna.org/thats-how-floating-point-errors-and-triangle-numbers-solved-a-mystery/",6
"SciRS2 – Scientific Computing and AI in Rust without C/C++/Fortran dependencies","https://github.com/cool-japan/scirs",6
"Feels like a good time to seriously rethink how OSs and UIs are designed","https://twitter.com/sama/status/2048428561481265539",5
"Millions Are Turning to a Cheaper, Electricity-Free Cooling Solution","https://economictimes.indiatimes.com/news/international/us/say-goodbye-to-traditional-air-conditioning-millions-are-turning-to-a-cheaper-electricity-free-cooling-solution/articleshow/130510992.cms?from=mdr",5
"A ShaderToy-like playground for ASCII art","https://play.ertdfgcvb.xyz",5
"New Type of Neuroplasticity Rewires the Brain After a Single Experience","https://www.quantamagazine.org/a-new-type-of-neuroplasticity-rewires-the-brain-after-a-single-experience-20260424/",5
"Kenya's Sebastian Sawe becomes first man to run sub two-hour marathon","https://www.cnn.com/2026/04/26/sport/sabastian-sawe-marathon-world-record",5
